標題,評論內容,評論時間
[公告] lilinnnnnn 洗圖仔 35天,: 10萬-1,1.163.28.133 08/14 23:46
[公告] lilinnnnnn 洗圖仔 35天,: 崩潰的柯布林XDDDDDD,101.10.11.177 08/14 23:51
[公告] lilinnnnnn 洗圖仔 35天,: 土城+1,125.229.221.151 08/15 00:10
[公告] lilinnnnnn 洗圖仔 35天,: Z9-1,223.136.101.149 08/15 00:26
[公告] lilinnnnnn 洗圖仔 35天,: 貪污粉-1,182.233.65.19 08/15 03:12
[公告] lilinnnnnn 洗圖仔 35天,: 柯糞加班費記得回捐,101.10.45.66 08/15 03:55
[公告] lilinnnnnn 洗圖仔 35天,: 洗圖仔掰,114.136.89.119 08/15 10:31
[公告] Qadc koil ligin 分身桶 175天,: 真的有分身被抓喔~,82.174.71.100 08/15 13:23
[公告] Qadc koil ligin 分身桶 175天,: 你到底用了什麽工具軟體。,171.14.63.140 08/15 13:23
[公告] Qadc koil ligin 分身桶 175天,: 能不能幫我抓我的本尊一堆人說我是小號,82.174.71.100 08/15 13:24
[公告] Qadc koil ligin 分身桶 175天,: 10萬大軍-1,42.76.21.62 08/15 13:24
[公告] Qadc koil ligin 分身桶 175天,: 如果不同人格開不同帳號算分身嗎？,59.124.165.188 08/15 13:25
[公告] Qadc koil ligin 分身桶 175天,: 可檢舉icrose itrose嗎,42.76.21.62 08/15 13:27
[公告] Qadc koil ligin 分身桶 175天,:,https://imgur.com/wBulVXl
[公告] Qadc koil ligin 分身桶 175天,: 別看你今日鬧得歡,125.229.126.47 08/15 13:29
[公告] Qadc koil ligin 分身桶 175天,:,https://i.imgur.com/CIWvwYy.jpg
[公告] Qadc koil ligin 分身桶 175天,: 綠粉又被迫害了,36.230.9.147 08/15 13:40
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 柯憐,223.137.70.74 08/15 14:35
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 洗這個能幹嘛？,42.72.241.153 08/15 14:37
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 剛剛先封鎖了，回個頭板主就已經在做,223.138.163.223 08/15 14:37
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 事，真安心,223.138.163.223 08/15 14:37
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 樂趣在錢,171.14.63.140 08/15 14:38
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 他只是善意提醒高鼻安,42.79.157.206 08/15 14:38
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 樂趣在貼圖者是滿滿的自己，顆顆,1.172.79.75 08/15 14:39
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 風向明明就噴爛安安 有需要洗圖嗎 XDDDDD,1.200.24.62 08/15 14:46
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 測試板主有沒有做事,180.217.75.213 08/15 14:49
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 鼻孔安沒貪1000萬，不算貪污,61.219.218.244 08/15 14:54
[公告] smile75896 洗圖的樂趣在哪 我不懂 70天,: 特別鍾愛洗衣機耶,223.136.101.149 08/15 15:26
[公告] czm 2-1 7天,: 版主，為什麼這位還能發文啊,118.231.205.35 08/15 17:02
[公告] czm 2-1 7天,: 哈哈,101.138.161.48 08/15 17:03
[公告] czm 2-1 7天,:,https://i.imgur.com/X35H6ZC.jpg
[公告] Carr77 2-2 7天,: 快上車,180.217.20.228 08/11 15:55
[公告] Carr77 2-2 7天,: 最近突然出現的id,39.12.65.113 08/11 16:05
[公告] Carr77 2-2 7天,: 新手上路，未滿40字，慢走,223.138.163.223 08/11 16:20
[公告] htc10 暫行板規 210天,: 柯黑-1,115.165.192.246 08/12 01:32
[公告] htc10 暫行板規 210天,: 掰嚕,180.47.33.149 08/12 01:32
[公告] htc10 暫行板規 210天,: 製圖精良,125.229.126.47 08/12 01:32
[公告] htc10 暫行板規 210天,: 選後出桶，洗圖末路,223.138.163.223 08/12 01:34
[公告] htc10 暫行板規 210天,: 這帳號以前不會這樣 使用者換了???,36.226.161.213 08/12 01:34
[公告] htc10 暫行板規 210天,: 0.0,219.71.113.43 08/12 01:38
[公告] htc10 暫行板規 210天,: 210天….比我還慘….,36.224.225.217 08/12 01:41
[公告] htc10 暫行板規 210天,: 2016年的舊機種了，比五樓還老舊,223.138.163.223 08/12 01:41
[公告] htc10 暫行板規 210天,: 感覺很討厭黃國昌？,36.224.225.217 08/12 01:42
[公告] htc10 暫行板規 210天,: 為什麼會洗圖洗成這樣？,36.226.160.49 08/12 01:52
[公告] htc10 暫行板規 210天,: 這樣窩又少1個圖庫了QQ,223.136.65.199 08/12 02:22
[公告] htc10 暫行板規 210天,: 洗圖真的吃飽太閒,111.254.47.41 08/12 02:31
[公告] htc10 暫行板規 210天,: 這很明顯是買來洗圖洗推文的吧,61.56.166.164 08/12 04:19
[公告] htc10 暫行板規 210天,: 綠圾：八卦都網軍,1.200.19.34 08/12 08:24
[公告] htc10 暫行板規 210天,: 製圖精良+1,122.121.150.158 08/12 08:49
[公告] smallxxoo 2-2 7天,: 39,125.229.126.47 08/12 01:52
[公告] smallxxoo 2-2 7天,: 車欠骨豊,223.138.163.223 08/12 01:55
[公告] 水桶 Mazda6680 35天,: 護自己人越來越明顯了吧,1.163.192.79 08/12 07:45
[公告] 水桶 Mazda6680 35天,: 佛冷雪 讚啦*\(^o^)/*,61.64.5.37 08/12 07:45
[公告] 水桶 Mazda6680 35天,: 政黑 幹古帥大叔 被捅了！,218.172.55.225 08/12 07:54
[公告] 水桶 Mazda6680 35天,: 有檢附證據叫維護自己人 綠粉看來很愛,59.102.152.12 08/12 07:58
[公告] 水桶 Mazda6680 35天,: 沒證據定罪 懷念起四十年前警總了？,59.102.152.12 08/12 07:58
[公告] 水桶 Mazda6680 35天,: 噗,101.12.18.163 08/12 08:15
[公告] 水桶 Mazda6680 35天,: 開馬自達 難怪你被水桶,36.231.69.18 08/12 08:16
[公告] 水桶 Mazda6680 35天,: 你開馬自達難怪會出事,27.242.98.228 08/12 08:17
[公告] 水桶 Mazda6680 35天,: S版主是綠粉欸 就事論事辣不要有什麼立,116.241.1.47 08/12 08:34
[公告] 水桶 Mazda6680 35天,: 場看版主執行版務,116.241.1.47 08/12 08:34
[公告] 水桶 Mazda6680 35天,: 靠北 幹古大叔 掰掰,220.129.36.131 08/12 08:37
[公告] 水桶 Mazda6680 35天,: 幫QQ 幹古大叔下次注意吧,27.240.176.173 08/12 08:38
[公告] 水桶 Mazda6680 35天,: 嗆我核廢料放核電廠終儲天才綠粉版主也有,125.227.14.7 08/12 08:38
[公告] 水桶 Mazda6680 35天,: 我都把智障柯粉黑名單，減少看到智障言,111.240.107.180 08/12 08:39
[公告] 水桶 Mazda6680 35天,: 論,111.240.107.180 08/12 08:39
[公告] 水桶 Mazda6680 35天,: 都未必到PTT平均年齡，自稱大叔好尷尬,123.52.213.67 08/12 08:39
[公告] 水桶 Mazda6680 35天,: 被認證護自己人的一天 一樓柯粉很氣很氣,125.227.14.7 08/12 08:40
[公告] 水桶 Mazda6680 35天,: 爽,49.216.164.110 08/12 08:40
[公告] 水桶 Mazda6680 35天,: 啊咧，垃圾民進黨支持者又又被桶？,101.44.81.201 08/12 08:45
[公告] 水桶 Mazda6680 35天,: 不是說自己很高尚不口出惡言？,101.44.81.201 08/12 08:47
[公告] 水桶 Mazda6680 35天,: 梁家輝的馬自達最近被沉冤得雪了啦XD,122.121.150.158 08/12 08:47
[公告] 水桶 Mazda6680 35天,: 梁家輝現在是馬自達代言人 不會遲到,101.136.68.217 08/12 08:52
[公告] 水桶 Mazda6680 35天,: 被槓精檢舉 笑死,220.141.205.113 08/12 08:55
[公告] 水桶 Mazda6680 35天,: 很少黑單 看藍白腦搞笑也是種樂趣,114.24.124.185 08/12 09:13
[公告] 水桶 Mazda6680 35天,: 我都直接黑掉dj 理他們沒用 不要浪費,27.242.224.245 08/12 09:28
[公告] 水桶 Mazda6680 35天,: 時間跟精神,27.242.224.245 08/12 09:28
[公告] 水桶 Mazda6680 35天,: 幹還騙人2000P 柯黑都這種水準嗎 唉,180.47.33.149 08/12 09:35
[公告] 水桶 Mazda6680 35天,: 這id很愛跳針 嘴不贏就跳針 被桶活,114.44.39.155 08/12 09:59
[公告] 水桶 Mazda6680 35天,: 該,114.44.39.155 08/12 09:59
[公告] 水桶 Mazda6680 35天,: 2000p都要騙 到底可憐,114.44.39.155 08/12 10:01
[公告] 水桶 Mazda6680 35天,: 在水桶裡幹古吧 嘻嘻,1.160.1.162 08/12 11:55
[公告] 水桶 Mazda6680 35天,: 馬自達是賽車，幫梁家輝澄清,27.242.98.228 08/12 12:08
[公告] 水桶 Mazda6680 35天,:,https://i.imgur.com/hSibPED.gifv
[公告] amordelcor 2-5H 28天,: 楚瑜幫我,42.79.150.176 08/12 12:01
[公告] amordelcor 2-5H 28天,: 你說這條板龜殺了幾人,61.227.103.237 08/12 12:01
[公告] amordelcor 2-5H 28天,: 窩都不敢轉錄了,61.227.103.237 08/12 12:01
[公告] amordelcor 2-5H 28天,: 轉啊 一般人又不會中,42.79.150.176 08/12 12:03
[公告] amordelcor 2-5H 28天,: 就照貼而已,42.79.150.176 08/12 12:04
[公告] amordelcor 2-5H 28天,: 臉書跟推特 就標題原轉錄名稱,42.79.150.176 08/12 12:05
[公告] amordelcor 2-5H 28天,: 臉書哪來標題,61.227.103.237 08/12 12:05
[公告] amordelcor 2-5H 28天,: 等等 kuni你有點進原文看嗎？,125.229.126.47 08/12 12:20
[公告] amordelcor 2-5H 28天,: 他分類用新聞 內文沒貼完整 當然被桶,125.229.126.47 08/12 12:20
[公告] amordelcor 2-5H 28天,: 啊,125.229.126.47 08/12 12:20
[公告] amordelcor 2-5H 28天,: 發了五千篇文章搞不懂板規是怎樣……,125.229.126.47 08/12 12:21
[公告] amordelcor 2-5H 28天,: 我又不是說他,61.227.103.237 08/12 12:22
[公告] amordelcor 2-5H 28天,: 發很多篇跟搞懂板主心理無關吧,61.227.103.237 08/12 12:22
[公告] amordelcor 2-5H 28天,: 你自己七樓的發言就很搞笑啊 干板主,125.229.126.47 08/12 12:28
[公告] amordelcor 2-5H 28天,: 心裡什麼事,125.229.126.47 08/12 12:28
[公告] amordelcor 2-5H 28天,: 以前kero那票板主不桶 是瀆職好嗎,125.229.126.47 08/12 12:28
[公告] amordelcor 2-5H 28天,: ????,61.227.103.237 08/12 12:33
[公告] amordelcor 2-5H 28天,: ？,125.229.126.47 08/12 12:34
[公告] amordelcor 2-5H 28天,: ！,125.229.126.47 08/12 12:34
[公告] amordelcor 2-5H 28天,: 笑死又一個進去,1.200.26.249 08/12 12:43
[公告] pz5202 暫行板規 420天,: 哇400多天，選舉都結束了,101.12.41.194 08/12 15:09
[公告] pz5202 暫行板規 420天,: 完啦，選舉跟不上了,180.218.233.183 08/12 15:10
[公告] pz5202 暫行板規 420天,: 經費下來了,125.229.126.47 08/12 15:11
[公告] pz5202 暫行板規 420天,: 柯黑-1 舒服,133.106.48.56 08/12 15:12
[公告] pz5202 暫行板規 420天,: 批評柯文哲的小心了,114.42.80.111 08/12 15:13
[公告] pz5202 暫行板規 420天,: 像拔了一根刺...爽啊,42.75.98.210 08/12 15:14
[公告] pz5202 暫行板規 420天,: 不演了，貼圖有沒意義由柯粉真理部決定,104.28.159.154 08/12 15:15
[公告] pz5202 暫行板規 420天,: 版最大 敢嘴,220.136.108.4 08/12 15:17
[公告] pz5202 暫行板規 420天,: 綠粉：版主桶綠不桶藍白,101.10.49.140 08/12 15:18
[公告] pz5202 暫行板規 420天,: 終於,223.136.250.241 08/12 15:20
[公告] pz5202 暫行板規 420天,: 境外綠粉取暖聖地又要靠北政黑板主利用,36.228.6.72 08/12 15:21
[公告] pz5202 暫行板規 420天,: 職權封殺綠粉QQ,36.228.6.72 08/12 15:21
[公告] pz5202 暫行板規 420天,: 這種一直在別人文章下貼一樣圖的本來,223.136.250.241 08/12 15:21
[公告] pz5202 暫行板規 420天,: 就該處理,那圖跟文章主題根本無關
[公告] pz5202 暫行板規 420天,: 洗圖就是慢走不送,223.138.163.223 08/12 15:24
[公告] pz5202 暫行板規 420天,: 綠圾蟑螂-1？,42.72.126.168 08/12 15:27
[公告] pz5202 暫行板規 420天,: 綠吱水準,123.192.178.162 08/12 15:27
[公告] pz5202 暫行板規 420天,: 我的文底下很少洗圖仔，槓精比較多，,36.226.160.49 08/12 15:27
[公告] pz5202 暫行板規 420天,: 這個不知道是為什麼？,36.226.160.49 08/12 15:27
[公告] pz5202 暫行板規 420天,: T董也被檢舉 = =,218.166.8.244 08/12 15:29
[公告] pz5202 暫行板規 420天,: 被檢舉都很好笑XD,36.226.160.49 08/12 15:30
[公告] pz5202 暫行板規 420天,: 然後檢舉我日旅文太多的同一個人。,36.226.160.49 08/12 15:31
[公告] pz5202 暫行板規 420天,: 昨天在推文問我能不能幫他約AV女優。,36.226.160.49 08/12 15:31
[公告] pz5202 暫行板規 420天,: 我想說這個人難道是分割思考，檢舉靠,36.226.160.49 08/12 15:32
[公告] pz5202 暫行板規 420天,: 大頭，推文靠小頭嗎？,36.226.160.49 08/12 15:32
[公告] pz5202 暫行板規 420天,: 皇城有句俗話說的好：看到電子妓女，,223.138.163.223 08/12 15:34
[公告] pz5202 暫行板規 420天,: 就是下半身投共,223.138.163.223 08/12 15:34
[公告] pz5202 暫行板規 420天,: 下半身投共wwwwww,36.226.160.49 08/12 15:35
[公告] pz5202 暫行板規 420天,: 讚,49.216.51.130 08/12 15:38
[公告] pz5202 暫行板規 420天,: 無腦洗圖仔真的很煩,114.137.8.105 08/12 15:47
[公告] pz5202 暫行板規 420天,: 那個Theo，就是因為你沒達成他的願望所以被,220.129.11.187 08/12 15:52
[公告] pz5202 暫行板規 420天,: 檢舉啊,220.129.11.187 08/12 15:52
[公告] pz5202 暫行板規 420天,: 也太多天==,42.77.71.188 08/12 15:54
[公告] pz5202 暫行板規 420天,: 可憐啊 連選舉都結束,180.217.29.121 08/12 15:54
[公告] pz5202 暫行板規 420天,: 不知道這種的目的在幹嘛,49.216.89.15 08/12 16:31
[公告] pz5202 暫行板規 420天,: 綠腦幫狂戰螂崩潰？,101.9.184.66 08/12 16:44
[公告] pz5202 暫行板規 420天,: Dpp又不缺這一個帳號,49.216.238.100 08/12 16:54
[公告] pz5202 暫行板規 420天,: 塔綠-1,121.50.44.44 08/12 17:33
[公告] pz5202 暫行板規 420天,: 八卦也就算了，想不到政黑也不能駡柯文哲,1.200.64.144 08/12 18:54
[公告] pz5202 暫行板規 420天,:,https://i.imgur.com/R4NTuBd.jpg
[公告] CHENXOX 暫行板規 35天,: 水喔,125.229.126.47 08/12 23:57
[公告] CHENXOX 暫行板規 35天,: 笑死,36.232.61.82 08/12 23:57
[公告] CHENXOX 暫行板規 35天,: 可憐,27.242.98.228 08/12 23:57
[公告] CHENXOX 暫行板規 35天,: 剛酸完就下去了 差底,39.15.24.109 08/12 23:58
[公告] CHENXOX 暫行板規 35天,: 這圖畫的真醜= =,61.56.167.90 08/12 23:59
[公告] CHENXOX 暫行板規 35天,: 天道好輪迴，善惡終有報，柯黑耗子尾汁,119.14.210.17 08/13 00:00
[公告] CHENXOX 暫行板規 35天,: 烈士,114.24.124.185 08/13 00:00
[公告] CHENXOX 暫行板規 35天,: 畫的哪麼微俏微妙...可惜了 哈,42.75.98.210 08/13 00:01
[公告] CHENXOX 暫行板規 35天,: 等等怎麼連他都進去了？？？,36.226.160.49 08/13 00:01
[公告] CHENXOX 暫行板規 35天,: 他這個傻傻的要學gisasy貼類似圖每次都,36.232.61.82 08/13 00:01
[公告] CHENXOX 暫行板規 35天,: 換網址就不會被抓了,36.232.61.82 08/13 00:01
[公告] CHENXOX 暫行板規 35天,: 死忠戰力大量折損中,61.64.5.37 08/13 00:02
[公告] CHENXOX 暫行板規 35天,: 這個例子告訴板友，推文不要重複，,27.242.98.228 08/13 00:03
[公告] CHENXOX 暫行板規 35天,: 沒梗就不要硬推,27.242.98.228 08/13 00:03
[公告] CHENXOX 暫行板規 35天,: 看他今天一直洗圖就有預感要進桶了,223.138.163.223 08/13 00:03
[公告] CHENXOX 暫行板規 35天,: 笑死 這隻也被桶囉,49.216.233.246 08/13 00:05
[公告] CHENXOX 暫行板規 35天,: 推文不要亂教 一樣會桶好嗎,125.229.126.47 08/13 00:07
[公告] CHENXOX 暫行板規 35天,: 同一張圖換網址還是會進桶的，這屆板,36.226.160.49 08/13 00:08
[公告] CHENXOX 暫行板規 35天,: 主抓很凶。建議的玩法是「發文」,36.226.160.49 08/13 00:08
[公告] CHENXOX 暫行板規 35天,: 你發五篇內容不一樣的文，五篇貼同樣,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 一組圖當簽名檔，只要你本文有40個字,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 又有政黑點就不違規,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 甚至你編輯文章貼同一張圖也不違規。,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 但你懶得編輯在自己文章底下貼同一張,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 圖也會水桶 nn,36.226.160.49 08/13 00:09
[公告] CHENXOX 暫行板規 35天,: 錯字「在自己文章自己推文同一張圖貼,36.226.160.49 08/13 00:10
[公告] CHENXOX 暫行板規 35天,: 好幾次也會違規」,36.226.160.49 08/13 00:10
[公告] CHENXOX 暫行板規 35天,: 爽 柯黑-1 大快人心,60.103.237.254 08/13 00:11
[公告] CHENXOX 暫行板規 35天,: 最近的綠粉一堆轉型成只推文不發文,27.242.98.228 08/13 00:13
[公告] CHENXOX 暫行板規 35天,: 小粉綠洗文帳號-1,36.230.11.107 08/13 00:14
[公告] CHENXOX 暫行板規 35天,: 不想發文臭了嗎?,36.232.61.82 08/13 00:14
[公告] CHENXOX 暫行板規 35天,: 反正小號還很多 根本也沒差0.o,36.230.11.107 08/13 00:14
[公告] CHENXOX 暫行板規 35天,: 不發文沒錯，但推文推到進水桶進錯了,36.226.160.49 08/13 00:18
[公告] CHENXOX 暫行板規 35天,: 錯字，就錯了,36.226.160.49 08/13 00:18
[公告] CHENXOX 暫行板規 35天,: 主要是板上綠粉大將進桶一大堆了啦,36.226.160.49 08/13 00:18
[公告] CHENXOX 暫行板規 35天,: 六道輪迴,180.217.233.222 08/13 00:19
[公告] CHENXOX 暫行板規 35天,: 這篇的chen，joe2，loki，都栽在連推,36.226.160.49 08/13 00:19
[公告] CHENXOX 暫行板規 35天,: 泥也太菜了吧 笑死,61.224.81.127 08/13 00:21
[公告] CHENXOX 暫行板規 35天,: 我都懷疑是不是上頭要他們洗文洗圖的,36.230.11.107 08/13 00:21
[公告] CHENXOX 暫行板規 35天,: 不然他們通常根本不會犯這些愚蠢的錯,36.230.11.107 08/13 00:22
[公告] CHENXOX 暫行板規 35天,: 一堆老帳號了 突然卯起來狂洗洗到進桶XD,36.230.11.107 08/13 00:22
[公告] CHENXOX 暫行板規 35天,: 0_0,219.71.113.43 08/13 00:23
[公告] CHENXOX 暫行板規 35天,: 我記得小智那段時間我連發五篇都貼那,36.226.160.49 08/13 00:25
[公告] CHENXOX 暫行板規 35天,: 張「是非顛倒-神砂嵐」也沒事，推文,36.226.160.49 08/13 00:25
[公告] CHENXOX 暫行板規 35天,: 連推五次的話我就進水桶了。,36.226.160.49 08/13 00:25
[公告] CHENXOX 暫行板規 35天,: 就叫你不要亂甩手了XD,36.230.11.107 08/13 00:27
[公告] CHENXOX 暫行板規 35天,: 自己做圖的,39.12.33.90 08/13 00:37
[公告] CHENXOX 暫行板規 35天,: 畫得還蠻傳神的,223.139.96.75 08/13 02:03
[公告] CHENXOX 暫行板規 35天,: 綠圾蟑螂-1？,42.72.126.168 08/13 08:35
[公告] CHENXOX 暫行板規 35天,: 柯黑-1,223.136.101.149 08/13 09:11
[公告] Darkhearo smallxxoo 21天 1-6分身,: 分身狗,180.217.233.222 08/13 00:26
[公告] Darkhearo smallxxoo 21天 1-6分身,: 明察秋毫...辛苦了,42.75.98.210 08/13 00:28
[公告] Darkhearo smallxxoo 21天 1-6分身,: 怎麼又是柯黑進桶？？是不是柯黑素質比較,60.103.237.254 08/13 00:29
[公告] Darkhearo smallxxoo 21天 1-6分身,: 低@@,60.103.237.254 08/13 00:29
[公告] Darkhearo smallxxoo 21天 1-6分身,: 綠共網軍再次哭哭，悲憤,1.200.38.62 08/13 00:30
[公告] Darkhearo smallxxoo 21天 1-6分身,: 為什麼你們知道這兩個是柯黑？我完全,36.226.160.49 08/13 00:34
[公告] Darkhearo smallxxoo 21天 1-6分身,: 對這id沒印象,36.226.160.49 08/13 00:34
[公告] Darkhearo smallxxoo 21天 1-6分身,: 其實我是用猜的 沒想到真的是 哈哈,60.103.237.254 08/13 00:34
[公告] Darkhearo smallxxoo 21天 1-6分身,: 這兩個根本沒印象，為啥可以扯柯黑?,36.232.61.82 08/13 00:34
[公告] Darkhearo smallxxoo 21天 1-6分身,: 還是你先扯他是柯黑，然後一條龍抹?,36.232.61.82 08/13 00:36
[公告] Darkhearo smallxxoo 21天 1-6分身,: 有這麼誇張嗎@@,60.103.237.254 08/13 00:37
[公告] Darkhearo smallxxoo 21天 1-6分身,: 柯黑素質一代不如一代,125.229.126.47 08/13 00:38
[公告] Darkhearo smallxxoo 21天 1-6分身,: 搜ID看發文不難吧？柯黑哭哭。,1.200.38.62 08/13 00:43
[公告] Darkhearo smallxxoo 21天 1-6分身,: 又抓到一隻 哥布林沒腦不意外,123.110.68.115 08/13 01:19
[公告] Darkhearo smallxxoo 21天 1-6分身,: 這樣就分身喔，搞不好同一間辦公室剛好,220.129.36.131 08/13 16:16
[公告] Darkhearo smallxxoo 21天 1-6分身,: 同一個虛擬IP阿。嘻嘻,220.129.36.131 08/13 16:16
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 爲什麽被抓的基本都是綠的,171.14.63.78 08/13 13:29
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 你用了什麽抓分身工具也分享給哥布林,171.14.63.78 08/13 13:30
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 看看能抓幾個嗑粉,171.14.63.78 08/13 13:30
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 柯韓粉-1,223.138.70.185 08/13 13:31
[公告] thirdlittle 875天 你們再給我洗圖試看看,: First time? 看這些哥布林崩潰成這樣 應,180.217.233.222 08/13 13:31
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 該去領手冊,180.217.233.222 08/13 13:31
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 沒有論述能力就閉嘴 一直貼一樣的圖,39.10.65.112 08/13 13:32
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 別怪人家當你是網軍洗風向,39.10.65.112 08/13 13:32
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 綠粉:都是柯網軍在洗風向啦 咦自己人,35.146.34.18 08/13 13:33
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 綠師欸 年收180,61.224.81.127 08/13 13:35
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 洗圖不只浪費大家的讀取時間，甚至嚴重浪費,111.254.50.71 08/13 13:38
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 地球資源，別再搞了,111.254.50.71 08/13 13:38
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 怎麼洗圖幫的都是哥布林啊,219.70.184.41 08/13 13:38
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 太褲啦,118.171.49.70 08/13 13:38
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 公關公司-1,111.83.207.95 08/13 13:42
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 那個帳號不是網軍啦，是狂粉化的義勇軍,114.42.79.243 08/13 13:45
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 為了黨賠掉一個帳號,112.78.66.36 08/13 13:46
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 人一狂粉化，智商開根號,114.42.79.243 08/13 13:46
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 還有好幾個月不能推文受得了嗎,36.236.215.36 08/13 13:49
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 賴神這草包選情到底多差啊,61.56.166.164 08/13 13:50
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 要買一堆這樣洗圖 而且洗這根本沒用啊,61.56.166.164 08/13 13:50
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 綠畜網軍到底在想什麼 笑死,61.56.166.164 08/13 13:50
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 哥布林： 為什麼不抓柯糞洗圖？？,36.224.225.217 08/13 13:56
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 可憐,27.51.8.254 08/13 13:58
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 哇賽,203.204.194.135 08/13 13:59
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 讚！,58.137.49.238 08/13 14:00
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 也太多了,112.78.83.40 08/13 14:10
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 哈 柯黑又-1 爽 下去囉！,133.106.208.196 08/13 14:36
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 阿北網軍好多，一堆宣傳阿北政績的被桶,114.42.80.111 08/13 14:37
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 這就是網軍啊 什麼顏色很清楚,49.216.177.143 08/13 15:38
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 柯粉信徒-1 真的很認真幫柯宣揚政見,114.136.147.238 08/13 15:43
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 一直都覺得嚴懲洗圖仔的版主真是太,223.137.127.20 08/13 16:25
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 讚了,223.137.127.20 08/13 16:25
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 給我試試是什麼意思？,111.248.74.8 08/13 16:45
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 狂粉義勇軍 跟柯韓粉 有區分的必要嗎,49.215.14.141 08/13 17:59
[公告] thirdlittle 875天 你們再給我洗圖試看看,: 盜亦有道，領錢做事還不認真打些字,111.71.67.45 08/13 19:56
[公告] IE5 35天 洗圖仔洗三小,: 笑死 老人了還不看板規,61.224.81.127 08/13 13:41
[公告] IE5 35天 洗圖仔洗三小,: 這個還知道要多次上傳弄不同網址XD,35.146.34.18 08/13 13:42
[公告] IE5 35天 洗圖仔洗三小,: 這些人真的很無聊.....,180.217.144.17 08/13 13:44
[公告] IE5 35天 洗圖仔洗三小,: 要洗也換一下圖,112.78.66.36 08/13 13:47
[公告] IE5 35天 洗圖仔洗三小,: 他在工作 給點尊重,114.24.79.148 08/13 13:48
[公告] IE5 35天 洗圖仔洗三小,: 兩者都辛苦...何苦！,42.75.98.210 08/13 13:50
[公告] IE5 35天 洗圖仔洗三小,: 演過麻辣鮮師就跩上天了,114.24.124.185 08/13 13:51
[公告] IE5 35天 洗圖仔洗三小,: 畢竟IE都過期連微軟都放棄了,111.254.50.71 08/13 13:51
[公告] IE5 35天 洗圖仔洗三小,: 連空姐都要洗 多無聊,125.229.126.47 08/13 13:53
[公告] IE5 35天 洗圖仔洗三小,: 又一個反串狂粉  XDD,27.51.8.254 08/13 13:59
[公告] IE5 35天 洗圖仔洗三小,: 呱吉：ptt只剩一種顏色有在養網軍,39.10.65.112 08/13 14:00
[公告] IE5 35天 洗圖仔洗三小,: 哈 柯黑又-1 爽 下去囉！,133.106.208.196 08/13 14:37
[公告] IE5 35天 洗圖仔洗三小,: 民進黨網軍真的很多,49.216.177.143 08/13 15:37
